type,lat,lon,activity_score,year,nightlights,ndbi
fuel,-1.9547666999999995,30.073444,1,2015,20.627598,0.05951469704160032
fuel,-1.9526616,30.0737621,1,2015,20.627598,0.05951469704160032
restaurant,-1.9472923,30.065953000000004,1,2015,40.423325,0.05951469704160032
school,-1.9512745,30.0598357,1,2015,28.444098,0.05951469704160032
restaurant,-1.9522126,30.081546899999992,1,2015,15.596899,0.05951469704160032
hotel,-1.946264,30.0920643,1,2015,21.489737,0.05951469704160032
fuel,-1.9465771,30.0610512,1,2015,45.0858,0.05951469704160032
restaurant,-1.955897,30.0654579,1,2015,25.178612,0.05951469704160032
fuel,-1.9493215,30.0200045,1,2015,3.3536308,0.05951469704160032
fuel,-1.9489959,30.0218688,1,2015,3.3536308,0.05951469704160032
fuel,-1.9411903,30.0429794,1,2015,22.349237,0.05951469704160032
hotel,-1.9599921,30.0682894,1,2015,21.748175,0.05951469704160032
information,-1.946789,30.060917,1,2015,45.0858,0.05951469704160032
diplomatic,-1.9530975,30.0680373,1,2015,25.178612,0.05951469704160032
restaurant,-1.9469864,30.0628391,1,2015,45.0858,0.05951469704160032
place_of_worship,-1.9509535,30.062918,1,2015,38.838333,0.05951469704160032
fuel,-1.9454237000000003,30.0577885,1,2015,39.92476,0.05951469704160032
fuel,-1.9474264,30.0925578,1,2015,21.489737,0.05951469704160032
diplomatic,-1.9458,30.1034365,1,2015,14.212892,0.05951469704160032
fuel,-1.9803924,30.2246168,1,2015,4.0132785,0.05951469704160032
fuel,-1.9597451,30.1171516,1,2015,24.774372,0.05951469704160032
fuel,-1.9847135,30.186774600000003,1,2015,4.489303,0.05951469704160032
fuel,-1.9689973,30.1688326,1,2015,4.1540585,0.05951469704160032
fuel,-1.9526316,30.241949,1,2015,0.85746354,0.05951469704160032
marketplace,-1.9814931,30.1044117,1,2015,8.685258,0.05951469704160032
works,-1.9619267,30.0042427,1,2015,1.8087168,0.05951469704160032
supermarket,-1.9654180000000003,30.0805112,1,2015,15.601688,0.05951469704160032
fuel,-1.9676823,30.0826474,1,2015,15.300752,0.05951469704160032
place_of_worship,-1.9438322,30.065213600000003,1,2015,40.423325,0.05951469704160032
place_of_worship,-1.943472,30.064861,1,2015,40.423325,0.05951469704160032
fuel,-1.943855,30.072208900000003,1,2015,37.638634,0.05951469704160032
works,-1.9155473,30.111595,1,2015,5.965126,0.05951469704160032
school,-1.9565223,30.145105600000004,1,2015,8.137548,0.05951469704160032
company,-1.9455785,30.06013,1,2015,45.0858,0.05951469704160032
supermarket,-1.9460621,30.059904300000003,1,2015,39.92476,0.05951469704160032
supermarket,-1.9458437,30.0615291,1,2015,45.0858,0.05951469704160032
fuel,-1.9447887,30.0596034,1,2015,39.92476,0.05951469704160032
doityourself,-1.9427185,30.060411,1,2015,28.680727,0.05951469704160032
doityourself,-1.9430634,30.0594722,1,2015,34.786793,0.05951469704160032
doityourself,-1.9432216,30.0592577,1,2015,39.92476,0.05951469704160032
supermarket,-1.9458715,30.05578029999999,1,2015,39.92476,0.05951469704160032
hotel,-1.9528484,30.0574064,1,2015,20.97427,0.05951469704160032
books,-1.9485917,30.059257800000005,1,2015,28.444098,0.05951469704160032
bank,-1.951466,30.062501,1,2015,38.838333,0.05951469704160032
doityourself,-1.9521082,30.0571581,1,2015,20.97427,0.05951469704160032
restaurant,-1.9571198,30.109457599999995,1,2015,27.79873,0.05951469704160032
fuel,-1.9408318,30.0431581,1,2015,22.349237,0.05951469704160032
