type,lat,lon,activity_score,cluster,firm_id,revenue_estimate,employee_count,years_in_operation,productivity
fuel,-1.9547666999999995,30.073444,1,,0,36196.371320026,4,11,9049.0928300065
fuel,-1.9526616,30.073762099999993,1,,1,19182.155001562143,6,3,3197.0258335936905
restaurant,-1.9472923000000002,30.065953000000004,1,,2,42095.18060178361,4,9,10523.795150445903
school,-1.9512745000000002,30.0598357,1,,3,101015.56131770952,5,8,20203.112263541905
restaurant,-1.9522126,30.081546899999992,1,,4,17428.230714076562,5,11,3485.6461428153125
hotel,-1.946264,30.092064299999993,1,,5,17428.516849181196,1,18,17428.516849181196
fuel,-1.9465771,30.061051199999998,1,,6,106853.37167931243,6,1,17808.895279885404
restaurant,-1.955897,30.065457900000002,1,,7,47450.1387969019,6,15,7908.356466150316
fuel,-1.9493215,30.020004500000002,1,,8,13773.828899889326,6,4,2295.6381499815543
fuel,-1.9489959000000001,30.0218688,1,,9,37894.45383617891,6,4,6315.742306029818
fuel,-1.9411903000000001,30.042979399999997,1,,10,13857.505901821502,3,10,4619.1686339405005
hotel,-1.9599921000000002,30.0682894,1,,11,13825.503516211034,5,11,2765.1007032422067
information,-1.946789,30.060917,1,,12,28056.12568403587,2,18,14028.062842017935
diplomatic,-1.9530975,30.068037299999997,1,,13,3251.005965714975,5,15,650.201193142995
restaurant,-1.9469863999999995,30.0628391,1,,14,3924.845111842726,3,3,1308.2817039475754
place_of_worship,-1.9509535,30.062918,1,,15,12552.96875487899,3,7,4184.322918292996
fuel,-1.9454237000000003,30.0577885,1,,16,7999.776475151596,5,7,1599.9552950303191
fuel,-1.9474263999999994,30.0925578,1,,17,30159.261404921148,11,17,2741.7510368110134
diplomatic,-1.9458,30.103436499999997,1,,18,8883.722285743124,7,16,1269.1031836775892
fuel,-1.9803924000000002,30.2246168,1,,19,5365.239518259953,7,16,766.4627883228504
fuel,-1.9597450999999995,30.117151599999996,1,,20,95382.34418968004,4,8,23845.58604742001
fuel,-1.9847135,30.186774600000003,1,,21,17574.84152403259,1,3,17574.84152403259
fuel,-1.9689973,30.168832599999998,1,,22,23565.24426026957,4,15,5891.3110650673925
fuel,-1.9526316,30.241948999999998,1,,23,5298.885602680598,5,1,1059.7771205361196
telephone,-1.9429684,30.058752000000002,1,,24,12779.751400021225,4,10,3194.9378500053062
marketplace,-1.9814931000000002,30.1044117,1,,25,24610.355526620457,4,2,6152.588881655114
supermarket,-1.9654180000000003,30.0805112,1,,26,6967.462816095673,7,7,995.3518308708104
fuel,-1.9676823,30.0826474,1,,27,32070.696749435803,6,14,5345.116124905967
place_of_worship,-1.9438321999999995,30.065213600000003,1,,28,12080.662468360313,8,16,1510.0828085450391
place_of_worship,-1.943472,30.064860999999997,1,,29,16453.709794769762,4,15,4113.4274486924405
fuel,-1.943855,30.072208900000003,1,,30,12067.768145676517,3,7,4022.5893818921722
school,-1.9565223,30.145105600000004,1,,31,140403.8489692441,1,13,140403.8489692441
