type,geometry,lat,lon,activity_score
restaurant,POINT (30.065953 -1.9472923),-1.9472923000000002,30.065953000000004,1
restaurant,POINT (30.0815469 -1.9522126),-1.9522126,30.081546899999992,1
restaurant,POINT (30.0654579 -1.955897),-1.955897,30.065457900000002,1
restaurant,POINT (30.0628391 -1.9469864),-1.9469863999999995,30.0628391,1
supermarket,POINT (30.0805112 -1.965418),-1.9654180000000003,30.0805112,1
supermarket,POINT (30.0599043 -1.9460621),-1.9460621000000002,30.059904300000003,1
supermarket,POINT (30.0615291 -1.9458437),-1.9458437,30.0615291,1
supermarket,POINT (30.0557803 -1.9458715),-1.9458714999999998,30.05578029999999,1
bank,POINT (30.062501 -1.951466),-1.951466,30.062500999999997,1
restaurant,POINT (30.1094576 -1.9571198),-1.9571198,30.109457599999995,1
bank,POINT (30.0600806 -1.9471565),-1.9471565,30.0600806,1
cafe,POINT (30.0615017 -1.9455336),-1.9455336,30.061501700000004,1
supermarket,POINT (30.0590945 -1.9280683),-1.9280683,30.0590945,1
bar,POINT (30.103453 -1.96958),-1.9695800000000003,30.103453000000002,1
restaurant,POINT (30.0800812 -1.9495265),-1.9495264999999995,30.0800812,1
cafe,POINT (30.1033451 -1.9404434),-1.9404434,30.1033451,1
bank,POINT (30.0595449 -1.9477632),-1.9477632,30.05954489999999,1
restaurant,POINT (30.0562622 -1.9421606),-1.9421606,30.056262199999992,1
bar,POINT (30.0817286 -1.954729),-1.954729,30.081728599999998,1
bar,POINT (30.083869 -1.9509815),-1.9509815000000001,30.083869,1
bar,POINT (30.0737096 -1.9326535),-1.9326535,30.073709599999997,1
bar,POINT (30.0782269 -1.9724037),-1.9724036999999996,30.0782269,1
bank,POINT (30.1093531 -1.9590925),-1.9590924999999995,30.109353099999993,1
bank,POINT (30.109455 -1.9590925),-1.9590924999999995,30.109455,1
supermarket,POINT (30.0582802 -1.9470783),-1.9470783,30.058280200000002,1
bank,POINT (30.1153104 -1.9574189),-1.9574188999999995,30.1153104,1
bank,POINT (30.0638152 -1.9487165),-1.9487165000000004,30.063815199999997,1
restaurant,POINT (30.1150529 -1.9569632),-1.9569632000000001,30.1150529,1
bar,POINT (30.057626 -1.9523359),-1.9523359,30.057626000000003,1
restaurant,POINT (30.059874 -1.9503241),-1.9503241,30.059873999999997,1
bank,POINT (30.0613637 -1.948715),-1.9487149999999995,30.0613637,1
restaurant,POINT (30.1087845 -1.959315),-1.9593150000000004,30.1087845,1
bank,POINT (30.0543119 -1.973939),-1.9739389999999997,30.0543119,1
restaurant,POINT (30.0928711 -1.9471407),-1.9471406999999996,30.0928711,1
bar,POINT (30.0542475 -1.9739015),-1.9739015,30.054247500000002,1
restaurant,POINT (30.1086182 -1.9594946),-1.9594946000000002,30.1086182,1
cafe,POINT (30.0931984 -1.9509365),-1.9509364999999999,30.093198400000002,1
cafe,POINT (30.0929962 -1.9508422),-1.9508422,30.0929962,1
pharmacy,POINT (30.0929105 -1.95096),-1.9509600000000002,30.0929105,1
