type,lat,lon,activity_score,year,nightlights,cluster,firm_id,revenue_estimate,productivity,employee_count,years_in_operation
fuel,-1.9547666999999995,30.073444,1,2015,20.627598,,0,36196.371320026,9049.0928300065,4,11
fuel,-1.9526616,30.073762099999993,1,2015,20.627598,,1,19182.155001562143,3197.0258335936905,6,3
restaurant,-1.9472923000000002,30.065953000000004,1,2015,40.423325,,2,42095.18060178361,10523.795150445903,4,9
school,-1.9512745000000002,30.0598357,1,2015,28.444098,,3,101015.56131770952,20203.112263541905,5,8
restaurant,-1.9522126,30.081546899999992,1,2015,15.596899,,4,17428.230714076562,3485.6461428153125,5,11
hotel,-1.946264,30.092064299999993,1,2015,21.489737,,5,17428.516849181196,17428.516849181196,1,18
fuel,-1.9465771,30.061051199999998,1,2015,45.0858,,6,106853.37167931243,17808.895279885404,6,1
restaurant,-1.955897,30.065457900000002,1,2015,25.178612,,7,47450.1387969019,7908.356466150316,6,15
fuel,-1.9493215,30.020004500000002,1,2015,3.3536308,,8,13773.828899889326,2295.6381499815543,6,4
fuel,-1.9489959000000001,30.0218688,1,2015,3.3536308,,9,37894.45383617891,6315.742306029818,6,4
fuel,-1.9411903000000001,30.042979399999997,1,2015,22.349237,,10,13857.505901821502,4619.1686339405005,3,10
hotel,-1.9599921000000002,30.0682894,1,2015,21.748175,,11,13825.503516211034,2765.1007032422067,5,11
information,-1.946789,30.060917,1,2015,45.0858,,12,28056.12568403587,14028.062842017935,2,18
diplomatic,-1.9530975,30.068037299999997,1,2015,25.178612,,13,3251.005965714975,650.201193142995,5,15
restaurant,-1.9469863999999995,30.0628391,1,2015,45.0858,,14,3924.845111842726,1308.2817039475754,3,3
place_of_worship,-1.9509535,30.062918,1,2015,38.838333,,15,12552.96875487899,4184.322918292996,3,7
fuel,-1.9454237000000003,30.0577885,1,2015,39.92476,,16,7999.776475151596,1599.9552950303191,5,7
fuel,-1.9474263999999994,30.0925578,1,2015,21.489737,,17,30159.261404921148,2741.7510368110134,11,17
diplomatic,-1.9458,30.103436499999997,1,2015,14.212892,,18,8883.722285743124,1269.1031836775892,7,16
fuel,-1.9803924000000002,30.2246168,1,2015,4.0132785,,19,5365.239518259953,766.4627883228504,7,16
fuel,-1.9597450999999995,30.117151599999996,1,2015,24.774372,,20,95382.34418968004,23845.58604742001,4,8
fuel,-1.9847135,30.186774600000003,1,2015,4.489303,,21,17574.84152403259,17574.84152403259,1,3
fuel,-1.9689973,30.168832599999998,1,2015,4.1540585,,22,23565.24426026957,5891.3110650673925,4,15
fuel,-1.9526316,30.241948999999998,1,2015,0.85746354,,23,5298.885602680598,1059.7771205361196,5,1
telephone,-1.9429684,30.058752000000002,1,2015,34.786793,,24,12779.751400021225,3194.9378500053062,4,10
marketplace,-1.9814931000000002,30.1044117,1,2015,8.685258,,25,24610.355526620457,6152.588881655114,4,2
supermarket,-1.9654180000000003,30.0805112,1,2015,15.601688,,26,6967.462816095673,995.3518308708104,7,7
fuel,-1.9676823,30.0826474,1,2015,15.300752,,27,32070.696749435803,5345.116124905967,6,14
place_of_worship,-1.9438321999999995,30.065213600000003,1,2015,40.423325,,28,12080.662468360313,1510.0828085450391,8,16
place_of_worship,-1.943472,30.064860999999997,1,2015,40.423325,,29,16453.709794769762,4113.4274486924405,4,15
fuel,-1.943855,30.072208900000003,1,2015,37.638634,,30,12067.768145676517,4022.5893818921722,3,7
school,-1.9565223,30.145105600000004,1,2015,8.137548,,31,140403.8489692441,140403.8489692441,1,13
company,-1.9455784999999997,30.06013,1,2015,45.0858,,32,21731.16697604606,5432.791744011515,4,10
supermarket,-1.9460621000000002,30.059904300000003,1,2015,39.92476,,33,7648.685416272549,7648.685416272549,1,9
supermarket,-1.9458437,30.0615291,1,2015,45.0858,,34,50138.52291695717,12534.630729239292,4,9
fuel,-1.9447886999999997,30.0596034,1,2015,39.92476,,35,6497.393334753408,2165.797778251136,3,6
doityourself,-1.9427185,30.060411,1,2015,28.680727,,36,27142.704951043062,5428.540990208612,5,12
doityourself,-1.9430633999999996,30.059472200000002,1,2015,34.786793,,37,3103.6368371587087,517.2728061931181,6,14
doityourself,-1.9432216000000002,30.059257699999993,1,2015,39.92476,,38,5836.0761104503945,972.6793517417324,6,7
supermarket,-1.9458714999999998,30.05578029999999,1,2015,39.92476,,39,26818.875703243204,6704.718925810801,4,8
hotel,-1.9528484,30.0574064,1,2015,20.97427,,40,46095.31421974837,11523.828554937092,4,8
books,-1.9485917,30.059257800000005,1,2015,28.444098,,41,26143.824405204305,5228.764881040861,5,8
bank,-1.951466,30.062500999999997,1,2015,38.838333,,42,19620.921857397316,19620.921857397316,1,2
doityourself,-1.9521082,30.057158100000002,1,2015,20.97427,,43,16299.607461865124,1811.0674957627916,9,14
restaurant,-1.9571198,30.109457599999995,1,2015,27.79873,,44,5021.470055876356,717.3528651251937,7,10
fuel,-1.9408318,30.0431581,1,2015,22.349237,,45,10723.102355653436,2144.6204711306873,5,18
fuel,-1.9385599000000002,30.0437693,1,2015,12.951618,,46,13896.068384041657,3474.017096010414,4,18
hotel,-1.9794787,30.0401562,1,2015,4.1186404,,47,63393.85593704241,12678.771187408482,5,18
nightclub,-1.9795484,30.0402019,1,2015,4.1186404,,48,31058.20456230627,7764.551140576567,4,16
biergarten,-1.9789955,30.040593299999994,1,2015,5.647077,,49,3778.0370116447066,3778.0370116447066,1,5
biergarten,-1.9790662,30.040522700000004,1,2015,4.1186404,,50,30457.39099786559,10152.463665955196,3,5
bank,-1.9471565,30.0600806,1,2015,45.0858,,51,14986.689501631581,2140.9556430902257,7,10
cafe,-1.9455336,30.061501700000004,1,2015,45.0858,,52,11193.382110971006,1865.5636851618344,6,17
townhall,-1.9389379999999998,30.0817494,1,2015,16.159945,,53,40606.209970866876,4060.6209970866876,10,13
place_of_worship,-1.9779613999999999,30.1128279,1,2015,10.546466,,54,61759.27974656065,15439.819936640162,4,17
place_of_worship,-1.9856038,30.111897399999997,1,2015,5.697813,,55,55897.789756188,11179.5579512376,5,18
townhall,-1.9845955999999996,30.103490800000003,1,2015,6.183147,,56,9516.500605720707,1586.0834342867845,6,13
public_building,-1.974616,30.1135577,1,2015,10.546466,,57,16167.973566397854,2694.662261066309,6,17
hotel,-1.9736965999999998,30.106564999999996,1,2015,9.173808,,58,30676.845519479393,3834.605689934924,8,15
school,-1.9876921,30.100602499999994,1,2015,6.183147,,59,58427.68572549429,14606.921431373572,4,12
school,-1.9130328999999997,30.0871395,1,2015,7.409166,,60,13640.87067931674,4546.95689310558,3,10
school,-1.9129694,30.087071099999992,1,2015,7.409166,,61,18294.230636104792,6098.076878701598,3,13
school,-1.9576254999999991,30.094340500000005,1,2015,15.316382,,62,7285.6724901890175,809.5191655765575,9,11
place_of_worship,-1.9512676000000002,30.122306900000005,1,2015,15.266497,,63,6659.457980540537,951.3511400772196,7,3
telephone,-1.9449359,30.0589102,1,2015,39.92476,,64,49638.68868119607,24819.344340598036,2,10
supermarket,-1.9280683,30.0590945,1,2015,11.696981,,65,85497.29598948982,42748.64799474491,2,11
hotel,-1.9411966999999997,30.065208300000002,1,2015,20.29905,,66,20496.09949362894,5124.024873407235,4,6
bar,-1.9695800000000003,30.103453000000002,1,2015,10.601174,,67,60086.04504025181,10014.340840041968,6,1
kiosk,-1.9713054999999995,30.103740299999995,1,2015,10.289117,,68,31622.874840345532,3513.6527600383924,9,6
restaurant,-1.9495264999999995,30.0800812,1,2015,17.64152,,69,11555.077680902401,1050.4616073547638,11,5
place_of_worship,-1.9020191999999996,30.0539351,1,2015,5.199226,,70,31615.272997200005,7903.818249300001,4,7
place_of_worship,-1.8882028999999998,30.036428499999996,1,2015,0.471106,,71,102542.90408961695,14648.986298516707,7,12
place_of_worship,-1.811795,30.184887299999993,1,2015,0.09309294,,72,21251.313004484164,3035.9018577834518,7,12
fuel,-1.9347344999999996,30.0625645,1,2015,14.519165,,73,105307.8933407908,35102.63111359694,3,7
bar,-1.9406793,30.103468499999998,1,2015,13.663076,,74,1603.9985684046467,229.14265262923524,7,2
cafe,-1.9404434,30.1033451,1,2015,13.663076,,75,50106.32388592713,10021.264777185426,5,1
mobile_phone,-1.9405213999999997,30.102849199999998,1,2015,13.663076,,76,24029.72941189246,12014.86470594623,2,18
atm,-1.9408380999999995,30.103315899999995,1,2015,13.663076,,77,16333.812905161829,1814.8681005735366,9,12
hairdresser,-1.9410296,30.103527500000002,1,2015,13.663076,,78,24143.265925584557,4023.877654264093,6,7
hotel,-1.9434288000000002,30.064602300000004,1,2015,40.423325,,79,3018.2458142533906,1006.0819380844636,3,19
bank,-1.9477632,30.05954489999999,1,2015,28.444098,,80,17682.453729420096,2947.075621570016,6,3
convenience,-1.9445235000000003,30.0595921,1,2015,39.92476,,81,31480.15327587638,10493.384425292126,3,10
restaurant,-1.9421606,30.056262199999992,1,2015,34.786793,,82,96557.50771911746,48278.75385955873,2,11
bar,-1.954729,30.081728599999998,1,2015,15.596899,,83,13117.857931159022,1639.7322413948777,8,5
bar,-1.9509815000000001,30.083869,1,2015,18.88896,,84,9813.422761981241,2453.3556904953102,4,2
bar,-1.9326535,30.073709599999997,1,2015,21.23967,,85,13336.27381736074,2667.2547634721477,5,8
hotel,-1.9053022,30.042900500000002,1,2015,3.0853548,,86,55017.25364750255,13754.313411875637,4,14
convenience,-1.9474594,30.092958000000003,1,2015,21.489737,,87,30599.872144875004,10199.957381625001,3,8
bar,-1.9724036999999996,30.0782269,1,2015,13.865672,,88,12967.99653517715,3241.9991337942874,4,6
