name,amenity,shop,office,geometry
Engen,fuel,,,POINT (30.073444 -1.9547667)
Engen,fuel,,,POINT (30.0737621 -1.9526616)
Khana Khazana,restaurant,,,POINT (30.065953 -1.9472923)
École Belge,school,,,POINT (30.0598357 -1.9512745)
Republika Lounge,restaurant,,,POINT (30.0815469 -1.9522126)
SP,fuel,,,POINT (30.0610733 -1.9465801)
New Cactus,restaurant,,,POINT (30.0654579 -1.955897)
Kobil,fuel,,,POINT (30.0200045 -1.9493215)
Total,fuel,,,POINT (30.0218688 -1.9489959)
Total,fuel,,,POINT (30.0429794 -1.9411903)
Résidence de l'Ambassade de Suisse,,,diplomatic,POINT (30.0680373 -1.9530975)
Chez Robert,restaurant,,,POINT (30.0628391 -1.9469864)
Cathédrale Saint-Michel,place_of_worship,,,POINT (30.062918 -1.9509535)
Rubis,fuel,,,POINT (30.0577885 -1.9454237)
Rubis,fuel,,,POINT (30.0925578 -1.9474264)
Embassy of Uganda,,,diplomatic,POINT (30.1034365 -1.9458)
Hashi Energy,fuel,,,POINT (30.2246168 -1.9803924)
SP,fuel,,,POINT (30.1171516 -1.9597451)
Rubis,fuel,,,POINT (30.1867746 -1.9847135)
Kobil,fuel,,,POINT (30.1688326 -1.9689973)
Hashi Energy,fuel,,,POINT (30.241949 -1.9526316)
,telephone,,,POINT (30.058752 -1.9429684)
Kicukiro Market Isoko,marketplace,,,POINT (30.1044117 -1.9814931)
Frulep,,supermarket,,POINT (30.0805112 -1.965418)
ENGEN,fuel,,,POINT (30.0826474 -1.9676823)
,place_of_worship,,,POINT (30.0652136 -1.9438322)
Centre National Pastorale,place_of_worship,,,POINT (30.064861 -1.943472)
Total,fuel,,,POINT (30.0722089 -1.943855)
KIM,school,,,POINT (30.1451056 -1.9565223)
Ethiopian Airlines,,,company,POINT (30.06013 -1.9455785)
Simba Supermarket Centenary,,supermarket,,POINT (30.0599043 -1.9460621)
Simba,,supermarket,,POINT (30.0615291 -1.9458437)
,fuel,,,POINT (30.0596034 -1.9447887)
Muhirwa,,doityourself,,POINT (30.060411 -1.9427185)
Muhirwa Free Parking,parking,,,POINT (30.0604225 -1.9428959)
Sofar,,doityourself,,POINT (30.0594722 -1.9430634)
Pakistani,,doityourself,,POINT (30.0592577 -1.9432216)
La Galette (German Bakery&Butchery),,supermarket,,POINT (30.0557803 -1.9458715)
Librairie Caritas,,books,,POINT (30.0592578 -1.9485917)
Worldbank,bank,,,POINT (30.062501 -1.951466)
Garage Sebalex,,doityourself,,POINT (30.0571581 -1.9521082)
high noon,restaurant,,,POINT (30.1094576 -1.9571198)
Engen,fuel,,,POINT (30.0431581 -1.9408318)
,fuel,,,POINT (30.0437693 -1.9385599)
DHM,nightclub,,,POINT (30.0402019 -1.9795484)
New Panorama,biergarten,,,POINT (30.0405933 -1.9789955)
Beer Garden,biergarten,,,POINT (30.0405227 -1.9790662)
Ecobank,bank,,,POINT (30.0600806 -1.9471565)
Bourbon Café,cafe,,,POINT (30.0615017 -1.9455336)
Village Urugwiro,townhall,,,POINT (30.0817494 -1.938938)
Catholic Church of Kicukiro,place_of_worship,,,POINT (30.1128279 -1.9779614)
New Jerusalem Church,place_of_worship,,,POINT (30.1118974 -1.9856038)
Kicukiro District Office,townhall,,,POINT (30.1034908 -1.9845956)
