system:index,NDBI,cell_id,.geo
0_0,-0.21978907,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.0140088275,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-0.049648326,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.37116405,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.0017116528,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.0615921,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.34768406,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-0.2998308,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-0.3205456,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.12242687,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-0.27142328,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.17119014,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.1477146,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.034852546,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,-0.20792744,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,-0.34711224,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.0064162305,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.010090086,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.054840893,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.15687956,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,-0.059446573,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,-0.16648993,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-0.049648542,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,-0.057130944,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,-0.07898997,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,-0.049944162,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.10071285,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,-0.24597165,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,-0.063772745,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,-0.06737554,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,-0.0668429,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,-0.11533289,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,-0.1039261,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,-0.1227754,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,-0.08088931,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,-0.14829612,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,-0.14153327,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,-0.010379384,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,-0.14224795,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.09373345,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,-0.069345266,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.0445534,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.06446541,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,-0.01622624,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.09641434,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,-0.16915591,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,-0.017150588,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.09491158,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,-0.05986866,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,-0.17790507,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.009785472,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.005310322,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,-0.0037729477,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,-0.22507122,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,-0.16015899,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
